feature,selection_frequency
meds_Polyethylene_Glycol,0.7
meds_Magnesium_Sulfate,0.6
meds_Levothyroxine_Sodium,0.6
labs_item_50947,0.5
meds_Albumin_25%_(12.5g_/_50mL),0.5
labs_item_51248,0.5
meds_Vancomycin,0.5
dx_311,0.5
meds_Heparin,0.4
meds_PHENYLEPHrine,0.4
meds_Propofol,0.4
labs_item_50868,0.4
meds_Ondansetron,0.4
dx_2724,0.4
meds_Docusate_Sodium,0.4
labs_item_52069,0.4
meds_Aspirin,0.4
labs_item_51678,0.4
labs_item_50902,0.4
labs_item_50960,0.4
labs_item_50983,0.4
labs_item_51146,0.4
labs_item_50862,0.4
dx_V5861,0.4
meds_Fentanyl_Citrate,0.3
meds_Magnesium_Sulfate_Replacement_(Critical_Care_and_Oncology),0.3
meds_OxyCODONE_(Immediate_Release),0.3
meds_Potassium_Chloride_Replacement_(Critical_Care_and_Oncology),0.3
meds_Atorvastatin,0.3
meds_Metoprolol_Succinate_XL,0.3
meds_Lisinopril,0.3
labs_item_51301,0.3
labs_item_52074,0.3
vitals_item_220181,0.3
vitals_item_220051,0.3
meds_Amiodarone,0.3
labs_item_51200,0.3
labs_item_50912,0.3
labs_item_51250,0.3
labs_item_51275,0.3
meds_Acetaminophen_IV,0.3
meds_Calcium_Gluconate_sliding_scale_(Critical_Care-Ionized_calcium),0.3
dx_I4891,0.3
dx_2859,0.3
dx_41401,0.3
meds_Sodium_Chloride_0.9%__Flush,0.3
meds_Heparin_Flush_(10_units/ml),0.3
dx_Z955,0.3
dx_I10,0.3
dx_F419,0.3
meds_Ranitidine,0.3
labs_item_50818,0.2
labs_item_50804,0.2
labs_item_50802,0.2
labs_item_50861,0.2
dx_V1582,0.2
dx_Z87891,0.2
dx_I2510,0.2
vitals_item_220050,0.2
labs_item_52172,0.2
meds_Albuterol_0.083%_Neb_Soln,0.2
vitals_item_220052,0.2
vitals_item_220180,0.2
meds_Calcium_Gluconate,0.2
labs_item_51274,0.2
labs_item_51133,0.2
labs_item_51221,0.2
labs_item_50954,0.2
labs_item_50934,0.2
labs_item_50882,0.2
labs_item_50863,0.2
labs_item_52075,0.2
labs_item_52073,0.2
vitals_item_220179,0.2
dx_N179,0.2
dx_E039,0.2
dx_42731,0.2
meds_Torsemide,0.2
meds_Warfarin,0.2
dx_4280,0.2
meds_Morphine_Sulfate,0.2
meds_Potassium_Chloride_Replacement_(Critical_Care_and_Oncology)_,0.2
meds_OxycoDONE_(Immediate_Release)_,0.2
meds_Potassium_Chloride,0.2
meds_Piperacillin-Tazobactam,0.2
meds_Furosemide,0.2
meds_HydrALAzine,0.2
labs_item_50878,0.2
labs_item_51006,0.2
labs_item_50970,0.2
labs_item_50820,0.1
dx_40390,0.1
dx_4019,0.1
labs_item_50885,0.1
labs_item_50893,0.1
labs_item_51256,0.1
labs_item_51254,0.1
labs_item_51222,0.1
labs_item_51237,0.1
labs_item_51249,0.1
meds_Acetaminophen,0.1
vitals_item_223761,0.1
meds_CefePIME,0.1
dx_F329,0.1
labs_item_51277,0.1
dx_5849,0.1
dx_5990,0.1
dx_E785,0.1
meds_Senna,0.1
dx_3051,0.1
dx_27800,0.1
labs_item_51279,0.1
meds_LORazepam,0.1
meds_Famotidine,0.1
meds_HYDROmorphone_(Dilaudid),0.1
meds_Lorazepam,0.1
meds_Pantoprazole,0.1
meds_Milk_of_Magnesia,0.1
labs_item_50813,0.0
labs_item_50821,0.0
vitals_item_220739,0.0
vitals_item_220210,0.0
vitals_item_220277,0.0
vitals_item_220045,0.0
labs_item_50971,0.0
labs_item_51244,0.0
labs_item_51265,0.0
meds_Bisacodyl,0.0
meds_Multivitamins,0.0
meds_Neutra-Phos,0.0
meds_Influenza_Vaccine_Quadrivalent,0.0
meds_Gabapentin,0.0
meds_Metoprolol_Tartrate,0.0
dx_E669,0.0
dx_53081,0.0
